Journal	Pubmed ID	All Authors (original order)	All Authors Number of Self-References	All Authors Percentage Self-References	Highest Self-Referencing Author	Number of Self-References (max. author)	Total Number of References	Percentage Self-References (max. author)	Manually Verified Number of Self-References (max. author)	Manually Verified Total Number of References	Manually Verified Percentage Self-References (max. author)
Bioinformatics	29028963	Zeljko Tomljanovic;Mitesh Patel;William Shin;Andrea Califano;Andrew F Teich	0;0;1;5;1	0.0;0.0;3.85;19.23;3.85	Andrea Califano	5	26	19.23	5	26	19.23076923
Cell	29149603	Hauke S Hillen;Yaroslav I Morozov;Azadeh Sarfallah;Dmitry Temiakov;Patrick Cramer	1;7;0;10;6	1.92;13.46;0.0;19.23;11.54	Dmitry Temiakov	10	52	19.23	10	52	19.23076923
Genetics	22701050	Romain Koszul;Matthew Meselson;Karine Van Doninck;Jean Vandenhaute;Denise Zickler	0;1;0;0;3	0.0;3.7;0.0;0.0;11.11	Denise Zickler	3	27	11.11	4	63	6.349206349
MCB	12482976	Eulàlia de Nadal;Laura Casadomé;Francesc Posas	2;0;4	8.33;0.0;16.67	Francesc Posas	4	24	16.67	4	24	16.66666667
MCB	15572667	Kazuhiko Nishida;Osamu Yamaguchi;Shinichi Hirotani;Shungo Hikoso;Yoshiharu Higuchi;Tetsuya Watanabe;Toshihiro Takeda;Soh Osuka;Takashi Morita;Gen Kondoh;Yoshihiro Uno;Kazunori Kashiwase;Masayuki Taniike;Atsuko Nakai;Yasushi Matsumura;Jun-ichi Miyazaki;Tatsuhiko Sudo;Kenichi Hongo;Yoichiro Kusakari;Satoshi Kurihara;Kenneth R Chien;Junji Takeda;Masatsugu Hori;Kinya Otsu	4;4;3;3;3;2;3;0;1;0;0;2;1;0;4;0;2;2;2;2;6;0;4;4	10.53;10.53;7.89;7.89;7.89;5.26;7.89;0.0;2.63;0.0;0.0;5.26;2.63;0.0;10.53;0.0;5.26;5.26;5.26;5.26;15.79;0.0;10.53;10.53	Kenneth R Chien	6	38	15.79	6	38	15.78947368
PlosCompBiol	36206310	Laura Fontanesi;Amitai Shenhav;Sebastian Gluth	0;7;4	0.0;25.0;14.29	Amitai Shenhav	7	28	25	8	36	22.22222222
Cell	27610569	Amelia Escolano;Jon M Steichen;Pia Dosenovic;Daniel W Kulp;Jovana Golijanin;Devin Sok;Natalia T Freund;Alexander D Gitlin;Thiago Oliveira;Tatsuya Araki;Sarina Lowe;Spencer T Chen;Jennifer Heinemann;Kai-Hui Yao;Erik Georgeson;Karen L Saye-Francisco;Anna Gazumyan;Yumiko Adachi;Michael Kubitz;Dennis R Burton;William R Schief;Michel C Nussenzweig	1;0;2;4;1;8;1;1;2;0;0;0;0;1;1;1;3;2;1;19;8;18	1.39;0.0;2.78;5.56;1.39;11.11;1.39;1.39;2.78;0.0;0.0;0.0;0.0;1.39;1.39;1.39;4.17;2.78;1.39;26.39;11.11;25.0	Dennis R Burton	19	72	26.39	23	81	28.39506173
JCellBiol	16702235	Stefanie Weinert;Nora Bergmann;Xiuju Luo;Bettina Erdmann;Michael Gotthardt	0;0;0;0;3	0.0;0.0;0.0;0.0;5.36	Michael Gotthardt	3	56	5.36	3	56	5.357142857
JCellBiol	26929450	Galo Garcia;Gregory C Finnigan;Lydia R Heasley;Sarah M Sterling;Adeeti Aggarwal;Chad G Pearson;Eva Nogales;Michael A McMurray;Jeremy Thorner	4;2;1;0;0;0;4;9;15	4.71;2.35;1.18;0.0;0.0;0.0;4.71;10.59;17.65	Jeremy Thorner	15	85	17.65	15	90	16.66666667
JCellBiol	16365160	Ikuo Nakamichi;Diana M Toivola;Pavel Strnad;Sara A Michie;Robert G Oshima;Hélène Baribault;M Bishr Omary	1;5;0;1;2;1;13	2.63;13.16;0.0;2.63;5.26;2.63;34.21	M Bishr Omary	13	38	34.21	13	38	34.21052632
